epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1
1,1.8683474434844882,0.47456357233835317,1.433714299007117,0.6245743473325767,0.21743481694319278,0.1439674369301235,0.1339121985610852
2,1.2995014952177089,0.6540608376414175,1.2249326771896896,0.6479852440408627,0.3801040932251274,0.20826748124212813,0.20385869870744744
3,1.1379988630175046,0.6699070952273919,1.1003971541285615,0.6614642451759364,0.6434129300236023,0.23765868568971585,0.24574956441718807
4,1.0284975255536901,0.6825503858544991,1.0050615179278464,0.6759364358683314,0.6692650198174318,0.27402207063734924,0.3012386977842686
5,0.950708796551605,0.6965422941484978,0.9300789563630144,0.6993473325766175,0.7314600246488329,0.34961941638316857,0.4049272529551216
6,0.8922896545112129,0.7106278564471417,0.8784721480147589,0.7101305334846765,0.7573375535971375,0.36991607726001474,0.42705000758137257
7,0.8543127205583178,0.7197310256986589,0.8458320917173819,0.7153802497162316,0.7612899921471418,0.3859669568522715,0.45585487564015037
8,0.8265504080802482,0.7275792312879299,0.8240692453703629,0.7233257661748014,0.7760526040644352,0.40333381024020154,0.47165638252343906
9,0.8039766030159033,0.7350153592567619,0.8080402597860051,0.724744608399546,0.7701964328535053,0.4105592140734504,0.47924523413337305
10,0.7887130782935935,0.7390799430583652,0.7899006534820776,0.7332576617480137,0.7849329963039966,0.4306676361026909,0.49624282340937315
11,0.7746806264955238,0.7439499512999176,0.7796639124368646,0.7339670828603859,0.7881820211262647,0.4299135591854995,0.5066552851329856
12,0.7642520662237215,0.7465348018281261,0.7678674807149397,0.7349602724177071,0.7731774358161917,0.43385730582337456,0.5070415058246129
13,0.752947494350784,0.7500374616018581,0.7546082091177552,0.7464528944381384,0.7830948830703396,0.4679167355539083,0.5417415428863278
14,0.7459872621511747,0.7523038885142729,0.749311825117016,0.7488649262202043,0.7778963643034505,0.4787916241137828,0.5518603915382311
15,0.7431678463343226,0.7522102345096277,0.7476973144812445,0.744750283768445,0.7827493487679722,0.4620656822975538,0.5375101253999621
16,0.735946208370342,0.7544017382183262,0.747058711833543,0.7400681044267877,0.8005272280550128,0.4426878538945178,0.5203139281312189
17,0.7314687470081478,0.7569491271446767,0.7319880277200448,0.755249716231555,0.7737575961656588,0.49555137841977165,0.5712376042421211
18,0.7282163025851088,0.7562935491121601,0.7296645677462729,0.7532633371169126,0.7859424783053549,0.4839527843256042,0.5640619938593056
19,0.7226792793421475,0.75904697684873,0.7293971633217149,0.7551078320090806,0.7825981773579275,0.4941272407083732,0.5730277682868877
20,0.716753335457094,0.7601146325016858,0.7263308265626518,0.7600737797956867,0.7817757041314529,0.5041856634907388,0.5802888496591652
21,0.7166937627023888,0.7614070577657901,0.7194130283404425,0.7582292849035187,0.7931556789251144,0.4963208422989087,0.575979567347848
22,0.7140796737000318,0.7612572113583577,0.7184274386472246,0.7561010215664018,0.800282425853005,0.4877748101007005,0.569237791008404
23,0.710122901562529,0.7634112534651982,0.7139215532409786,0.7641884222474461,0.7859424301353243,0.5196587047435283,0.5974212056916244
24,0.7095194851569739,0.7628493294373268,0.7076596665252297,0.7641884222474461,0.7785871266923952,0.5176544350176845,0.59567404442359
25,0.704902715840893,0.7636547538772758,0.708133130290631,0.7653234960272418,0.7966326551717993,0.5155287954540183,0.5956254103519331
26,0.7045218560426273,0.7650221023450963,0.7076380389084364,0.7636208853575482,0.7970395592468938,0.5101188125968733,0.5900568772315552
27,0.7058726649829365,0.7649659099423092,0.7122846050153754,0.7575198637911464,0.7984986696002664,0.49059221646907386,0.5728889095646528
28,0.7032413458461537,0.7644414475162958,0.7067331374525486,0.7603575482406356,0.7849560940320837,0.5051493865304388,0.582520152984057
29,0.6992504529946929,0.7667078744287106,0.7087635950761125,0.7609250851305335,0.8002598270274394,0.5003181035648446,0.5789007336181146
30,0.7016656351391364,0.766895182438001,0.7042823731142925,0.7646140749148694,0.7974380217281167,0.5121139924137615,0.5928863509724146
