epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1
1,0.5914687234901365,0.8309357908144153,0.20641680506309631,0.9350170261066969,0.9063981144427163,0.8978702155159356,0.8986279880741649
2,0.12704136057597679,0.9609275492620064,0.15418925648779797,0.9517593643586834,0.9207257121306701,0.9380318019451982,0.9288175398975426
3,0.09635245355824124,0.9705926425413951,0.14357642035757387,0.9592792281498297,0.9504033614682269,0.9279631907408125,0.9383035762480394
4,0.0874064172196948,0.9739079943058365,0.15152552651999607,0.960272417707151,0.9495961849604343,0.9279370977860696,0.9373574461864872
5,0.08275639768008318,0.9751816887690118,0.16729275860643353,0.9524687854710556,0.9589185444102549,0.9016622543372724,0.9276427398610956
6,0.07162179120254161,0.9788529257511052,0.18009777116361242,0.9540295119182747,0.9289861495578137,0.9366117811258744,0.9314630671057434
7,0.059752164009575844,0.982711470742489,0.15015602245036527,0.9605561861520999,0.9397839345927549,0.9370858379862078,0.9377132681247285
8,0.05386351091363464,0.9844347044279613,0.1360536478139829,0.9677922814982974,0.9614874700743332,0.9386634030615356,0.9493172470692964
9,0.04804932230242709,0.9861766689143627,0.1584311594727603,0.9614074914869466,0.9453716014034815,0.9394001281711558,0.9419102909752052
10,0.04553523850014029,0.9868322469468794,0.15122198725611818,0.9619750283768445,0.9445362845054204,0.9376598356154506,0.9402364206813395
11,0.03847187183717909,0.9887053270397842,0.1465091154140438,0.9667990919409761,0.9569988857367612,0.9409372001293729,0.9484662315870702
12,0.03493816726563274,0.9893609050723009,0.16621223172239377,0.9624006810442679,0.9550450149763995,0.9320138690419822,0.9428142948818442
13,0.03382888715993109,0.9902787143178242,0.15210424265129072,0.967366628830874,0.9631040115088335,0.9348693875568768,0.9478774546412508
