epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_f1_macro,epoch_time_seconds,learning_rate_current,is_best,best_val_acc_so_far,patience_counter
0,0.2794263385392007,0.9125271596613471,0.20756692987170058,0.9385641316685585,0.9338767099947932,0.8845984314931274,0.9016021936929522,0.9016021936929522,225.24282956123352,0.001,1,0.9385641316685585,0
1,0.13870247274429565,0.9584363527384431,0.1587767063746563,0.9494892167990919,0.9364574721884399,0.9122070562207946,0.9217675717836276,0.9217675717836276,128.25850176811218,0.001,1,0.9494892167990919,0
2,0.11646867052782356,0.9654791338877651,0.17031181020875413,0.9499148694665154,0.9577604383964401,0.8978401972374837,0.9241031370630036,0.9241031370630036,44.93381428718567,0.001,1,0.9499148694665154,0
3,0.10630666543750886,0.9690941784670712,0.1447367038139406,0.9597048808172531,0.9510899817673634,0.9250032337112274,0.936857831880794,0.936857831880794,78.24695134162903,0.001,1,0.9597048808172531,0
4,0.09543576284198044,0.9719974526110736,0.13464362504318564,0.9619750283768445,0.9553728222438536,0.9275347155272567,0.9396121519053326,0.9396121519053326,265.55611085891724,0.001,1,0.9619750283768445,0
5,0.09380397524017872,0.9734771858844684,0.15828877050298368,0.9523269012485811,0.9422773390881604,0.9202759983179597,0.9289207359951841,0.9289207359951841,207.14725732803345,0.001,0,0.9619750283768445,1
6,0.08239111693350352,0.9765677680377612,0.14141350466842317,0.9622587968217934,0.9475453527048893,0.9374864589616362,0.9416833843203957,0.9416833843203957,176.97863864898682,0.001,1,0.9622587968217934,0
7,0.07886286016050963,0.9778789241027946,0.10917492240562655,0.968927355278093,0.9622382627653625,0.943586838103511,0.9520830361849254,0.9520830361849254,68.30057287216187,0.001,1,0.968927355278093,0
8,0.07149040856353775,0.9793586573761894,0.19730800234688348,0.943955732122588,0.9490749006912113,0.8813289747960842,0.9105822854099177,0.9105822854099177,64.59411931037903,0.001,0,0.968927355278093,1
9,0.07155943386805287,0.980014235408706,0.17927478553748852,0.9537457434733257,0.9533263857525677,0.9095677932645385,0.9278512876493709,0.9278512876493709,63.18340563774109,0.001,0,0.968927355278093,2
10,0.0661461200159203,0.9809133138533004,0.13358998947173173,0.9641032917139614,0.9580109730539993,0.9339673079551821,0.945240137614538,0.945240137614538,67.38649415969849,0.001,0,0.968927355278093,3
11,0.05976830510475409,0.9830111635573537,0.15023158599916922,0.9592792281498297,0.9506373626419808,0.9213337559961184,0.9340110798010454,0.9340110798010454,77.46656537055969,0.001,0,0.968927355278093,4
12,0.05777111026300954,0.9832546639694313,0.13758230403322372,0.9585698070374574,0.9453309106597815,0.9330036070213513,0.9382452209101001,0.9382452209101001,96.97645998001099,0.001,0,0.968927355278093,5
13,0.05566650505844123,0.9841350116130966,0.12426043346371748,0.9669409761634506,0.957036864450945,0.9432586902731003,0.9496307097479036,0.9496307097479036,82.71621346473694,0.001,0,0.968927355278093,6
14,0.05650421203111092,0.9830111635573537,0.13566701299957945,0.9625425652667423,0.9479712779049566,0.9397768140830198,0.9429176507987463,0.9429176507987463,42.65031552314758,0.001,0,0.968927355278093,7
15,0.050458143482770015,0.9852588596688394,0.12023521429054633,0.9665153234960272,0.952744468311676,0.9472454968756286,0.9498275441487095,0.9498275441487095,45.84002089500427,0.001,0,0.968927355278093,8
