epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1
1,0.8925547434851362,0.64479111745185,0.5073162056040548,0.8193813847900113,0.7489187216959402,0.9067211117708093,0.8026460609777092
2,0.18236406930307428,0.9218124864311633,0.23982147206756482,0.9243757094211124,0.8698896361835664,0.93091542884139,0.8956987778730877
3,0.1371230706620481,0.9426542195205161,0.4193541950925579,0.8666288308740068,0.8362272858724099,0.8952978275872144,0.8467868567902243
4,0.12073073129102949,0.9515553763607605,0.5462460626606507,0.8507377979568672,0.7937662820376632,0.9238579567448867,0.8388584773349542
5,0.11395505285358751,0.9521756660360389,0.17551340994455478,0.9494892167990919,0.9157466143686346,0.9382509010231842,0.925576437554151
6,0.10562924212826008,0.955866389603945,0.3006941973293079,0.9108967082860386,0.8425194469153161,0.9420382247179591,0.8857659910258516
7,0.08707727615537558,0.9658840678596905,0.24093391217020255,0.9282065834279228,0.8692296258650022,0.9438784312229537,0.9029137827048225
8,0.07881691524326766,0.9677139224017616,0.2856211852921579,0.9175652667423383,0.8518647419145716,0.9390534273396799,0.8901778096519953
9,0.07354828292529321,0.9723350804825853,0.20172097566195812,0.947360953461975,0.901924751817865,0.9442936329755071,0.9210567191259261
10,0.06455761034838063,0.972831312222808,0.2769797972658984,0.929199772985244,0.8739081932968,0.9375144859065352,0.9018173581492851
