epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1
1,0.8402290386099704,0.7367180473281022,0.2587761148700975,0.9137343927355278,0.868625005153269,0.8998278904798164,0.878014666620151
2,0.17197554768089846,0.9465000155072418,0.23854707756999297,0.927639046538025,0.8899770950054751,0.906396477928478,0.8912132007642315
3,0.12355756543453265,0.9599292869770183,0.17003286802014347,0.9453745743473326,0.9099479595140948,0.9321939831158242,0.919450201717977
4,0.11331546072268806,0.9648295754117173,0.27015791801019823,0.9253688989784336,0.884365271563135,0.9201545094861551,0.8946756926550289
5,0.11019797927929297,0.9662252271810936,0.15747540889449668,0.9550227014755959,0.9339214552851575,0.9351317609661477,0.9338784052722086
6,0.0914940770291422,0.9710324721645008,0.16261522385595256,0.9545970488081725,0.9318904149775648,0.9307270910827868,0.9296436273004045
7,0.08066575452416153,0.9750333405700462,0.18746996612819375,0.9472190692395006,0.9164213352580304,0.9307409417356834,0.9219458106236994
8,0.06521500338579697,0.979282324845703,0.18330678368107292,0.949205448354143,0.9103896332355689,0.9465768653463963,0.9269549265333487
9,0.06226603464948774,0.9807089910988431,0.15118170889371982,0.9619750283768445,0.9509450065540945,0.9382452635997646,0.943424385572012
10,0.050950034707528576,0.9838414539589988,0.19751470750716088,0.951049943246311,0.9364800190232728,0.9214669459070647,0.92718486773998
11,0.04777661925371229,0.9849889898582638,0.16873741661918645,0.9585698070374574,0.9357849206142127,0.9349630882437231,0.9341225936607257
12,0.04366820729416451,0.9862915981763484,0.1902630186485011,0.9523269012485811,0.9302442445430907,0.9319069826163847,0.9288565761332865
13,0.038017379749355255,0.9878113078807803,0.1608113180452808,0.9614074914869466,0.9390181054626118,0.9413337721073461,0.9399153101895535
14,0.03345741065712201,0.9888347858449896,0.1927753062090342,0.9536038592508513,0.9223516739974226,0.9368939379334402,0.9281367955388347
