epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1
1,0.6162126465453763,0.8237618940585899,0.216081435738235,0.93288876276958,0.9254110551859794,0.8774483936419512,0.8963724868433522
2,0.12740429735570785,0.9616393196973102,0.16191702212601325,0.9511918274687855,0.9414859889898634,0.9142658821102417,0.9257744999243482
3,0.09476203173116546,0.9716790289952798,0.14810847962689672,0.9541713961407492,0.9241347589059016,0.937193539661326,0.9296267502464123
4,0.08450446218780434,0.974863265153218,0.18505890982170337,0.9501986379114642,0.9311349318317582,0.932290980106545,0.9291450474264188
5,0.08081427823972383,0.9762680752228965,0.17401863278619398,0.9483541430192962,0.9287989606076832,0.9200091606688914,0.9225709072169198
6,0.07318230646382012,0.9778414625009365,0.1469849090317635,0.9614074914869466,0.9435672198900377,0.9375614995821357,0.9396993459055514
7,0.05903301993932712,0.9828613171499213,0.1639537839304287,0.9587116912599319,0.9542907508519244,0.91988373166412,0.9360140620301601
8,0.05167738456402973,0.9845283584326066,0.15342584615675736,0.9577185017026106,0.9336790844254379,0.939593320088928,0.9352758704396879
9,0.04621497369992027,0.9858020528957818,0.1656740396172487,0.96183314415437,0.9550992423883532,0.9263529934775007,0.9392367551559784
10,0.04114692838445015,0.9880497490072675,0.18802693519125005,0.9580022701475596,0.9462112055251232,0.9244154756247117,0.9329032241606473
11,0.03955274112462724,0.988218326215629,0.15862651557652047,0.9611237230419978,0.9553900734263122,0.9248749165232365,0.9395185331242497
