epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_f1_macro,epoch_time_seconds,learning_rate_current,is_best,best_val_acc_so_far,patience_counter
0,0.2835267825239007,0.9146437401663295,0.1755216475576823,0.9467934165720772,0.9275158083495859,0.9134459502886784,0.91922754282584,0.91922754282584,270.38382029533386,0.001,1,0.9467934165720772,0
1,0.1359715207773728,0.9594103543867536,0.13107085830252438,0.9619750283768445,0.9609898137368869,0.9236484824092989,0.9412126327739602,0.9412126327739602,141.63635897636414,0.001,1,0.9619750283768445,0
2,0.114896790817438,0.9672772907769536,0.1667111696511302,0.9545970488081725,0.9497856354485227,0.9123033003455449,0.9277203794239893,0.9277203794239893,206.28823828697205,0.001,0,0.9619750283768445,1
3,0.10303871091259495,0.9703116805274593,0.1646916687680291,0.9540295119182747,0.9264933286633034,0.9396911355269676,0.9309387359359119,0.9309387359359119,109.46510887145996,0.001,0,0.9619750283768445,2
4,0.09416359444773,0.9740391099123399,0.20539928260856602,0.9446651532349603,0.9131776852337458,0.9164886358583834,0.9099270251398087,0.9099270251398087,168.45109176635742,0.001,0,0.9619750283768445,3
5,0.0840278263105762,0.9761369596163932,0.142029661509736,0.9604143019296254,0.9439791064374866,0.9384475444744312,0.9403856570108945,0.9403856570108945,102.53787636756897,0.001,0,0.9619750283768445,4
6,0.07749817487626381,0.9783471941260208,0.11780360452789829,0.9687854710556186,0.9682718151626971,0.9394209068418112,0.9529980314453961,0.9529980314453961,95.03136229515076,0.001,1,0.9687854710556186,0
7,0.0773962479006021,0.9782910017232337,0.1331743086263861,0.9626844494892168,0.9685220356728187,0.920211291493358,0.9419019292800431,0.9419019292800431,107.85885238647461,0.001,0,0.9687854710556186,1
8,0.06787924050632788,0.980763467445868,0.13830569573941923,0.9614074914869466,0.944175165547938,0.9411128218079005,0.9416324639090471,0.9416324639090471,86.35107493400574,0.001,0,0.9687854710556186,2
9,0.06344994904735508,0.9819809695062561,0.11825750564821233,0.9662315550510783,0.9532905349478208,0.9418918535828613,0.9465435009676059,0.9465435009676059,86.47880625724792,0.001,0,0.9687854710556186,3
10,0.058035800918700045,0.9834794335805799,0.13142218474030737,0.9670828603859251,0.9618422772946849,0.9398885539634518,0.9501837635492563,0.9501837635492563,85.01353001594543,0.001,0,0.9687854710556186,4
11,0.05520540545357853,0.9844721660298195,0.13449500427968475,0.963961407491487,0.9603146051285322,0.9313006327201063,0.9444237464925002,0.9444237464925002,84.2985007762909,0.001,0,0.9687854710556186,5
12,0.05259200981421454,0.9853337828725557,0.20915530869581198,0.9408342792281499,0.9153534949937133,0.9127975128467751,0.9079400251387596,0.9079400251387596,125.60470700263977,0.001,0,0.9687854710556186,6
13,0.051775665380741145,0.985127744062336,0.13501261782813415,0.9659477866061293,0.956068965039205,0.9404201772120842,0.9476354913883452,0.9476354913883452,119.92292523384094,0.001,0,0.9687854710556186,7
14,0.0494510985863025,0.9858582452985689,0.12784931626532012,0.9648127128263337,0.9553898618206214,0.9382911272877942,0.9458514128794122,0.9458514128794122,125.22331714630127,0.001,0,0.9687854710556186,8
