epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1
1,0.6491039302780629,0.8150146100247246,0.18606785073891313,0.9445232690124858,0.9330609139376809,0.8970841346145059,0.9134663764934183
2,0.1305212688471751,0.9613396268824455,0.19838320220411368,0.9489216799091941,0.949668417942528,0.8973102987381686,0.9191647884766895
3,0.09556985921501017,0.9721847606203641,0.19289275048021215,0.9504824063564131,0.9400385456441773,0.9119898436833132,0.9214225020423764
4,0.08977911821799929,0.9737768786993332,0.18930905693344355,0.9504824063564131,0.9394715234242635,0.9110125965897353,0.9230098974312431
5,0.08301185097632799,0.9758185360005994,0.18928351643299132,0.9513337116912599,0.9238599284844602,0.9320856903052889,0.9267403978758685
6,0.0761145764518733,0.9779163857046528,0.17735022644794937,0.9567253121452894,0.9445941755793079,0.9274722538118353,0.9355741604676681
7,0.06300431668656412,0.9818123922978946,0.15718084663663887,0.9645289443813848,0.9503307249117044,0.937889433582432,0.9430791481956011
8,0.05513630692680025,0.9839851652056641,0.17729743655643782,0.9582860385925085,0.953537473835703,0.9231495561186365,0.936474433134321
9,0.04842029333008143,0.9862328613171499,0.16812153747581612,0.9631101021566402,0.9536109516133031,0.9329522971811869,0.9425901118225837
10,0.046764110255697364,0.9863827077245823,0.18306348547494244,0.9599886492622021,0.9356291198274512,0.942892457087591,0.9387349148169548
11,0.04185919216701344,0.98780624859519,0.1886969488854561,0.9595629965947786,0.9547709448086201,0.9232505305764372,0.9376496458439187
12,0.03897578679396391,0.9884618266277067,0.15072634207609542,0.9694948921679909,0.9651055524236097,0.9437925465307075,0.9540373896915058
13,0.03492214914688023,0.9900164831048176,0.19612006947670618,0.9591373439273553,0.9507094450114052,0.925607926546517,0.9362144924325354
14,0.03410819344525346,0.9901475987113209,0.1772543736690906,0.9632519863791147,0.9609823745736362,0.9310564670976863,0.9448394275970379
15,0.029377637641126074,0.9913838315726381,0.15914336095810352,0.9656640181611805,0.9517723288887409,0.9419156059340739,0.9462771150813553
16,0.028935913308346228,0.9916460627856447,0.15601778106461578,0.967366628830874,0.9605227263875465,0.9389295158134182,0.9492787712438108
17,0.025898499974037627,0.9928073724432457,0.18319017919807817,0.9614074914869466,0.9419116606905069,0.9476156913446242,0.9436211177814279
