epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_f1_macro,epoch_time_seconds,learning_rate_current,is_best,best_val_acc_so_far,patience_counter
0,0.284921678093084,0.9114033116056043,0.15814712675281045,0.951049943246311,0.937899035661471,0.9193901294731371,0.9277216944000569,0.9277216944000569,315.7812397480011,0.001,1,0.951049943246311,0
1,0.14238790054168157,0.958792237956095,0.24318727954082653,0.9303348467650397,0.8957679625643236,0.9070263072445726,0.8960319525296057,0.8960319525296057,111.69637823104858,0.001,0,0.951049943246311,1
2,0.11413282877952251,0.9675582527908894,0.15684975813054158,0.9545970488081725,0.9565820674601776,0.908090879744,0.9274818522596523,0.9274818522596523,53.43913173675537,0.001,1,0.9545970488081725,0
3,0.10458926887987521,0.9708736045553308,0.15227161619238838,0.9536038592508513,0.9353727409603131,0.9276345342145733,0.9303043536229444,0.9303043536229444,77.64333295822144,0.001,0,0.9545970488081725,1
4,0.0908910581117633,0.9739454559076947,0.13514505980677094,0.9629682179341658,0.953842912012386,0.9357296268992948,0.9428617675565717,0.9428617675565717,45.12324619293213,0.001,1,0.9629682179341658,0
5,0.08596542814996722,0.9762680752228965,0.15088341003667313,0.9553064699205448,0.9419892605534108,0.9222618661359551,0.9295841235543333,0.9295841235543333,30.535675525665283,0.001,0,0.9629682179341658,1
6,0.0783823274631136,0.9778976549037237,0.1345306430901931,0.9635357548240636,0.9617994645503636,0.9287808499916457,0.9442166564272156,0.9442166564272156,32.5311017036438,0.001,1,0.9635357548240636,0
7,0.07187303279809061,0.9794148497789765,0.19378242147058544,0.9459421112372304,0.9373656320731336,0.8973248396787769,0.9112234271786633,0.9112234271786633,33.1357216835022,0.001,0,0.9635357548240636,1
8,0.068047115677634,0.9809695062560875,0.12503639639111658,0.9642451759364359,0.9578730608541912,0.9309906535077862,0.9435724422459203,0.9435724422459203,32.09995985031128,0.001,1,0.9642451759364359,0
9,0.061953045037183824,0.982355585524837,0.15887080694422392,0.9587116912599319,0.9440597347482861,0.9332614527792981,0.9359782517271317,0.9359782517271317,34.23347043991089,0.001,0,0.9642451759364359,1
10,0.059047283333009404,0.9830486251592118,0.13777889357689369,0.9612656072644722,0.9615867589548247,0.9231042249802535,0.9408888740454237,0.9408888740454237,32.61138033866882,0.001,0,0.9642451759364359,2
11,0.056215033871279754,0.9837791263954446,0.17550954064959645,0.9536038592508513,0.9606430639066391,0.9034883543578238,0.9285912280307852,0.9285912280307852,52.42845416069031,0.001,0,0.9642451759364359,3
12,0.053323523810402264,0.9851839364651233,0.12256808086338333,0.9672247446083996,0.9607564132922887,0.9410265090306402,0.9505137987858983,0.9505137987858983,67.79899263381958,0.001,1,0.9672247446083996,0
13,0.05034684377862765,0.9856709372892785,0.12739309456707149,0.9683598183881952,0.9681177438564698,0.9373923224337007,0.9519898990639969,0.9519898990639969,74.71926927566528,0.001,1,0.9683598183881952,0
14,0.05146767755195408,0.9850340900576908,0.1505856255687658,0.9597048808172531,0.9567615772476817,0.9229346319840263,0.9381788626292855,0.9381788626292855,45.94424486160278,0.001,0,0.9683598183881952,1
15,0.047276547829581954,0.9864763617292276,0.1338304360852093,0.9608399545970489,0.9452570088807498,0.9393871989543906,0.9410817499749933,0.9410817499749933,63.85237693786621,0.001,0,0.9683598183881952,2
16,0.049695575333623176,0.9853712444744137,0.1509250535215563,0.9628263337116912,0.9500405046923879,0.9387808948898325,0.9425164778424708,0.9425164778424708,101.68358111381531,0.001,0,0.9683598183881952,3
17,0.046672929272950456,0.9866262081366599,0.1329191646569199,0.962116912599319,0.9465954928778982,0.9427175328955846,0.9437701419340939,0.9437701419340939,77.73417687416077,0.001,0,0.9683598183881952,4
18,0.04383480187944978,0.9871132089608151,0.11678219977983811,0.9665153234960272,0.9587452273054823,0.9417219317422002,0.9497713695814656,0.9497713695814656,61.64179754257202,0.001,0,0.9683598183881952,5
19,0.041031713856770305,0.9882932494193452,0.1395449607353494,0.9628263337116912,0.9597169049112949,0.9314710589541528,0.9448868624195329,0.9448868624195329,71.79433035850525,0.001,0,0.9683598183881952,6
20,0.040580843651182,0.9884243650258485,0.13074890409902368,0.9660896708286039,0.956843667926862,0.939277869333691,0.9474757770513061,0.9474757770513061,54.28031039237976,0.001,0,0.9683598183881952,7
21,0.04079818408765656,0.9880310182063385,0.12934643887490813,0.9670828603859251,0.9528820127344594,0.9434344447162227,0.9473667903755603,0.9473667903755603,80.30865597724915,0.001,0,0.9683598183881952,8
