epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_f1_macro,epoch_time_seconds,learning_rate_current,is_best,best_val_acc_so_far,patience_counter
0,0.27437580727705607,0.9165917434629505,0.28296284536360927,0.9177071509648127,0.9277541196642546,0.8438115930271879,0.8750719234602137,0.8750719234602137,363.1930856704712,0.001,1,0.9177071509648127,0
1,0.1349933666879127,0.9598973552109088,0.1718477138474575,0.95261066969353,0.957672541515735,0.9039274778101102,0.9278612598386259,0.9278612598386259,333.78514409065247,0.001,1,0.95261066969353,0
2,0.11580640765766245,0.9656664418970555,0.16801458356053367,0.947360953461975,0.9312896129329205,0.9082476392400944,0.9167707585174433,0.9167707585174433,204.80483531951904,0.001,0,0.95261066969353,1
3,0.10976664302183321,0.9685697160410579,0.15407568154994797,0.95261066969353,0.9497823851079481,0.9107235759367867,0.9274657869129039,0.9274657869129039,223.79655361175537,0.001,0,0.95261066969353,2
4,0.09834460057125624,0.9714355285832023,0.17256477345888824,0.9489216799091941,0.947807610645202,0.9022068285630805,0.9215284523150942,0.9215284523150942,215.3312327861786,0.001,0,0.95261066969353,3
5,0.09167455978559838,0.9736457630928298,0.18160892302575338,0.945516458569807,0.9097087018849567,0.9314146907561663,0.9192020406532984,0.9192020406532984,220.87668347358704,0.001,0,0.95261066969353,4
6,0.08476132934209261,0.9755937663894508,0.17552966369269998,0.9527525539160046,0.9545363427385402,0.8997564040151836,0.9243524569092845,0.9243524569092845,173.18701577186584,0.001,1,0.9527525539160046,0
7,0.08098675843099087,0.9764928448340451,0.12421255726682388,0.9643870601589103,0.9512834546317338,0.9361687639964594,0.9428310580109103,0.9428310580109103,208.80660247802734,0.001,1,0.9643870601589103,0
8,0.07270685084540383,0.9791900801678279,0.1579284115141298,0.9577185017026106,0.9481186237550873,0.9236813914618484,0.9339122403311881,0.9339122403311881,230.77088594436646,0.001,0,0.9643870601589103,1
9,0.0709444523899307,0.9788903873529632,0.19209996933412116,0.9436719636776391,0.9283579915149226,0.9141810004932238,0.9173917445553966,0.9173917445553966,167.88410353660583,0.001,0,0.9643870601589103,2
10,0.06529966541873325,0.9811006218625908,0.128783100584697,0.9652383654937571,0.9645529935869789,0.9309356653354528,0.9469999402393955,0.9469999402393955,128.95602345466614,0.001,1,0.9652383654937571,0
11,0.06185599949805109,0.9822619315201918,0.15598988155170704,0.9562996594778661,0.9364717334531489,0.9316624236945504,0.9320822353778286,0.9320822353778286,135.89925599098206,0.001,0,0.9652383654937571,1
12,0.06072803061047847,0.9828238555480633,0.12441395258646729,0.9663734392735528,0.9575955369558343,0.9391832155370544,0.9474703010537144,0.9474703010537144,91.29229283332825,0.001,1,0.9663734392735528,0
13,0.058365559766181116,0.9830111635573537,0.14020452855466273,0.9628263337116912,0.961931855996122,0.9284271039486507,0.9440274723080925,0.9440274723080925,104.52271103858948,0.001,0,0.9663734392735528,1
14,0.05492285143074915,0.9841162808121675,0.13194968235668664,0.9646708286038592,0.9560706199774366,0.9323191889006758,0.9435798271788088,0.9435798271788088,99.991872549057,0.001,0,0.9663734392735528,2
15,0.05130341717723687,0.9853899752753428,0.12205618743986082,0.9648127128263337,0.9541288125845665,0.9424769318899288,0.9480666510954293,0.9480666510954293,89.93544316291809,0.001,0,0.9663734392735528,3
16,0.052701875461164824,0.9839851652056641,0.11995613098623671,0.9676503972758229,0.9630767851167584,0.9395391678550084,0.9507738350920499,0.9507738350920499,85.7167387008667,0.001,1,0.9676503972758229,0
17,0.0489497468935543,0.9856896680902075,0.12424350077932367,0.963677639046538,0.9507100770083526,0.9382429722084854,0.9439377538258723,0.9439377538258723,88.89132165908813,0.001,0,0.9676503972758229,1
18,0.04549166289505449,0.9869446317524537,0.13605754864202585,0.9686435868331441,0.9710250079588755,0.9378502132939421,0.9535302398219558,0.9535302398219558,89.36344957351685,0.001,1,0.9686435868331441,0
19,0.04808640105761054,0.9854274368772009,0.1230375540377595,0.9648127128263337,0.9571386746467052,0.936989645983297,0.9463792983079404,0.9463792983079404,88.51642179489136,0.001,0,0.9686435868331441,1
20,0.04509407305732596,0.9867011313403761,0.12249746355067617,0.9680760499432464,0.9626346070883236,0.9419099847068498,0.9518787488020686,0.9518787488020686,85.6054277420044,0.001,0,0.9686435868331441,2
21,0.043578032601707485,0.9870008241552409,0.14335454439894135,0.9633938706015891,0.9536189700696971,0.9357227886738438,0.9424706877972718,0.9424706877972718,86.39736843109131,0.001,0,0.9686435868331441,3
22,0.03956717889358371,0.9884618266277067,0.14455020724930856,0.9629682179341658,0.9495023972337266,0.934565009196369,0.9409373610920162,0.9409373610920162,83.6477952003479,0.001,0,0.9686435868331441,4
23,0.03974019870124121,0.9884618266277067,0.13285987585313253,0.9666572077185017,0.9596540530933425,0.9392730665909951,0.948968844306373,0.948968844306373,80.47386980056763,0.001,0,0.9686435868331441,5
24,0.03995011250212908,0.9881621338128418,0.13893668882807936,0.9662315550510783,0.9577095895244246,0.9363742262983199,0.946137739511807,0.946137739511807,82.26769232749939,0.001,0,0.9686435868331441,6
25,0.04073244841471945,0.9877125945905447,0.13444965861986533,0.963961407491487,0.9506238656549635,0.9430993008092537,0.9463011638072222,0.9463011638072222,81.6027295589447,0.001,0,0.9686435868331441,7
26,0.03418678088055262,0.9900726755076047,0.17861637954395082,0.9551645856980704,0.941805937315395,0.9200001195694986,0.9275388881988724,0.9275388881988724,85.04384589195251,0.001,0,0.9686435868331441,8
